step,portfolio_value,weight_0,weight_1,weight_2,weight_3,weight_4
0,106275.34830841108,0.17863676,0.12936111,0.14733997,0.12818414,0.41647807
1,103996.20617571611,0.18155888,0.13360338,0.14939705,0.13025144,0.40518922
2,105120.52976899073,0.18103935,0.13206337,0.14865398,0.12892956,0.40931377
3,109335.98356995871,0.18095423,0.13229726,0.1491572,0.1291144,0.40847692
4,111411.05547572927,0.18092163,0.13260564,0.14904071,0.12948105,0.407951
5,119429.4647913013,0.18135339,0.13333854,0.14978376,0.12989211,0.40563217
6,121448.88697334124,0.18121524,0.13427532,0.15100174,0.13087149,0.4026362
7,122605.03003383293,0.18110773,0.13235204,0.14931716,0.12952857,0.40769452
8,128712.34179864927,0.18079577,0.1331919,0.14970663,0.13030173,0.40600398
9,126152.67340153249,0.18075526,0.13358167,0.15100704,0.13078764,0.40386838
10,121164.99186057312,0.17907493,0.1296405,0.1466483,0.12807289,0.41656327
11,123200.75964444112,0.1800603,0.13103342,0.14895858,0.1287226,0.41122514
12,127987.37622710873,0.1808083,0.13253935,0.14927109,0.12942854,0.40795273
13,126121.03260383649,0.18090917,0.13334386,0.1494836,0.13031928,0.40594414
14,125185.07168569992,0.17998396,0.13218884,0.14955887,0.12971011,0.40855822
15,124902.14222674315,0.1809555,0.13258502,0.14906693,0.12933429,0.40805832
16,134578.3570783235,0.17976776,0.13093953,0.14837809,0.12896541,0.41194916
17,129659.20190670785,0.18445276,0.13594171,0.15031935,0.12903322,0.40025297
18,133783.3017531124,0.18160251,0.1311488,0.14878845,0.12821782,0.41024244
19,137679.9949734527,0.18158749,0.13388455,0.15074904,0.13054971,0.40322918
20,142657.97148326575,0.18129061,0.13372722,0.15038618,0.13080133,0.40379462
21,139449.80775084867,0.18081379,0.13166332,0.14858447,0.12899204,0.40994638
22,140140.70474546758,0.17984188,0.13096012,0.14831112,0.12850194,0.41238496
23,136910.05894127223,0.18025196,0.13246033,0.14961854,0.12988934,0.40777984
24,132220.0510201577,0.18014535,0.13070269,0.14769863,0.1283948,0.4130585
25,125938.0243738031,0.18013623,0.13061889,0.1476636,0.12786096,0.41372037
26,123331.58721718812,0.17948584,0.129058,0.1471564,0.12712435,0.41717535
27,123051.90694204124,0.18071175,0.1315021,0.14852838,0.12876873,0.41048905
28,122976.62775663842,0.18070862,0.13202558,0.14875218,0.12899461,0.40951902
29,128361.54096612372,0.18110426,0.13263433,0.14924964,0.12939586,0.40761593
30,125756.60239247738,0.18118703,0.13431583,0.15094633,0.13100715,0.40254366
31,125970.52213656859,0.18043429,0.13148025,0.14882743,0.12872049,0.4105375
32,119904.47621624086,0.1809015,0.1321911,0.14883348,0.12899043,0.40908355
33,121196.11324036756,0.17966637,0.13092777,0.14899288,0.1287147,0.41169825
34,119823.73762613449,0.18051957,0.13149059,0.14875126,0.1286984,0.4105402
35,117357.305847792,0.18142857,0.13245536,0.1491565,0.12915736,0.4078022
36,122558.82414675686,0.18126862,0.13261594,0.14938968,0.12916395,0.40756184
37,123371.86278188674,0.18030976,0.13333474,0.15086704,0.1306559,0.40483263
38,113027.84310298585,0.18002148,0.13099155,0.14744121,0.12885317,0.41269258
39,111328.10589031388,0.17987174,0.13032275,0.14774624,0.12821992,0.41383934
40,117510.1526924636,0.17999682,0.13224626,0.14895646,0.13010688,0.4086936
41,112658.39659923528,0.1809686,0.13346095,0.14974867,0.13049966,0.4053221
42,108931.26280949156,0.1799168,0.13040583,0.14744104,0.12782393,0.41441235
43,109833.90835347703,0.18021317,0.13086373,0.14821158,0.12814243,0.41256905
44,105890.08865167825,0.18086657,0.13211423,0.14897244,0.12901431,0.40903243
45,102466.06844072782,0.17992264,0.13060537,0.14794238,0.1281316,0.41339803
46,102531.91343311426,0.1799961,0.13107061,0.14819926,0.12863387,0.41210014
47,98112.59604265091,0.18071549,0.13256569,0.14901167,0.12966262,0.40804458
48,95647.90328157497,0.17824218,0.12835076,0.14610001,0.12723179,0.4200752
49,98022.5123132201,0.17994605,0.13119955,0.1482272,0.12865704,0.4119701
50,94515.09858831132,0.18065466,0.13323782,0.1498427,0.13023593,0.40602893
51,97667.03806144196,0.18026227,0.13119505,0.14842886,0.12870932,0.41140455
52,100018.85019801324,0.18052183,0.13278031,0.14955536,0.12993675,0.40720567
53,95968.27622497994,0.18071412,0.13259165,0.14921732,0.12945181,0.40802512
54,97137.56187372343,0.1794767,0.12966666,0.1470534,0.1273901,0.41641316
55,100001.41715021526,0.17995214,0.13153724,0.1486486,0.12919025,0.4106717
56,99665.33483254116,0.18075188,0.1330905,0.14972965,0.13001807,0.4064099
57,100702.84051471506,0.18041654,0.13166285,0.14874932,0.1289963,0.41017506
58,103938.86708932361,0.1799864,0.13226473,0.15026547,0.13012913,0.4073543
59,104637.62588388834,0.18112671,0.13269484,0.14913246,0.12979235,0.40725368
60,90393.0797817706,0.18026537,0.13139947,0.14867432,0.1286612,0.4109996
61,89858.32621245178,0.18065645,0.13250199,0.14908053,0.12918657,0.4085744
62,86157.45828769628,0.18025406,0.13171616,0.14856264,0.12897299,0.41049418
63,84657.41779232453,0.17922364,0.13045263,0.14758714,0.1286829,0.41405368
64,90546.96845849608,0.17971386,0.13108668,0.14800988,0.12887995,0.41230962
65,91794.13031867423,0.17953114,0.13290453,0.14952214,0.13101998,0.40702224
66,94645.53134324371,0.17994319,0.13282062,0.15018919,0.13016862,0.4068784
67,92798.31052947298,0.180605,0.1325764,0.14899683,0.12977897,0.40804282
68,93867.57820278381,0.17921746,0.12975797,0.14726116,0.12787427,0.41588917
69,90696.26359913548,0.1803312,0.13185854,0.14878707,0.12916607,0.4098572
70,93870.39525921796,0.17974505,0.13031977,0.14740403,0.12811698,0.41441417
71,91626.15195901915,0.18062767,0.1327471,0.14951083,0.12995698,0.40715742
72,91649.56736914921,0.1800685,0.13104627,0.14829804,0.12853022,0.41205698
73,88072.3517488615,0.18029399,0.13239583,0.1496768,0.12974772,0.40788564
74,89220.16143239063,0.18041043,0.1313556,0.14889771,0.12851578,0.41082042
75,89039.4766306322,0.1804214,0.13239601,0.14933838,0.12990716,0.40793702
76,86614.8368682405,0.18040456,0.13196379,0.14931075,0.12904747,0.4092735
77,85890.16109184726,0.17986605,0.13121611,0.14873876,0.12862042,0.41155863
78,89134.95574978349,0.18042663,0.13186118,0.14859912,0.12866792,0.41044518
79,89306.31620981015,0.18093757,0.13318543,0.14956072,0.1297564,0.40655988
80,87471.39416202891,0.18098913,0.13237533,0.14914429,0.12916899,0.4083222
81,85224.59496385728,0.18037318,0.13146389,0.14911908,0.12873024,0.4103137
82,86396.9912537448,0.18000141,0.13078502,0.14803836,0.12795503,0.4132202
83,88444.77823005572,0.1807313,0.13262507,0.14955653,0.12955171,0.40753543
