step,portfolio_value,weight_0,weight_1,weight_2,weight_3,weight_4,weight_5
0,101482.54870884377,0.02057272,0.0062070596,0.80955327,0.0001205513,0.14443767,0.019108696
1,100298.95157786936,0.02075074,0.0063492157,0.80870134,0.0001238357,0.14451702,0.019557843
2,97880.68378083807,0.02102481,0.0064158286,0.80662733,0.0001267983,0.14583479,0.019970324
3,100920.6491903555,0.021547113,0.0066961935,0.80136913,0.00013384069,0.14961368,0.020639926
4,102396.91904175912,0.021595972,0.0066888346,0.8015556,0.00013408443,0.1493621,0.020663416
5,104845.92125292668,0.022027003,0.006933198,0.79660565,0.00014022632,0.15270661,0.0215872
6,110275.90713989481,0.022154655,0.0070022657,0.79521286,0.00014295155,0.15376142,0.021725856
7,110644.50004970012,0.022034405,0.0069529517,0.7959384,0.00014032923,0.1532199,0.021713926
8,113308.37601311704,0.02238426,0.00711922,0.7937416,0.00014657984,0.1543956,0.022212733
9,111689.45729030225,0.022487434,0.0071464917,0.79306436,0.00014731768,0.1548414,0.02231302
10,110762.17325418665,0.022374643,0.0071488577,0.79264635,0.00014667593,0.1553536,0.022329926
11,108812.90300206243,0.022562845,0.0072207376,0.7901441,0.00014926984,0.15744406,0.022478985
12,112839.2514349703,0.022279602,0.007114563,0.792099,0.0001453953,0.15619938,0.022161962
13,113468.9981913539,0.021865318,0.006954728,0.79369164,0.00013950845,0.15561688,0.021731967
14,112326.5074778866,0.021372363,0.0067123035,0.7975111,0.0001306521,0.15306397,0.021209642
15,113035.11029139001,0.020829787,0.0064543146,0.8014291,0.00012296438,0.1507195,0.02044445
16,115717.05343027013,0.020291463,0.0062140664,0.8051607,0.00011542108,0.14841877,0.019799542
17,118834.32195627825,0.019719178,0.005961975,0.8099058,0.00010789905,0.1451233,0.019181734
18,116712.53108080922,0.018862497,0.005624096,0.8154246,9.779954e-05,0.1418606,0.018130373
19,119594.21169233877,0.018300045,0.005401607,0.81971073,9.1641414e-05,0.13912848,0.01736748
20,121947.924818489,0.017485352,0.005032495,0.82754266,8.273232e-05,0.13364457,0.016212162
