step,portfolio_value
254,174629.4203807935
255,176198.68551629593
256,175526.9433313935
257,174667.0119936207
258,174192.34884631954
259,172670.76926882777
260,174495.84994566167
261,176638.0235348266
262,176090.4371139423
263,177129.81810244988
264,177702.47919726977
265,174493.75955972867
266,174593.2930866449
267,177204.52683258418
268,175577.2315076376
269,169690.11284214264
270,172105.56396621093
271,175385.88932188955
272,173991.49016372254
273,174919.3015171828
274,176781.8746569074
275,176903.5638618774
276,180011.43029533047
277,177432.04249281765
278,174155.9752576707
279,175823.2026634091
280,176697.36829985495
281,175476.69197683834
282,173782.27852141813
283,174722.61570915952
284,178031.10080904476
285,176630.81745075012
286,175873.2805838149
287,176307.125525122
288,175790.13382392502
289,177410.0870907188
290,177444.0483080838
291,172846.1318533389
292,168631.14134992776
293,167161.25648693513
294,169519.28630698618
295,168974.21902669905
296,169611.6811773098
297,171445.5063545313
298,170006.41596745985
299,171033.40474485085
300,169188.0189289554
301,173162.590036031
302,173607.74074362655
303,176160.76056895632
304,174224.6288822633
305,174846.48836252932
306,174446.97087364184
307,174998.69309167785
308,176495.16469392413
309,175391.9493573214
310,176477.1475622824
311,173973.87668095253
312,174836.75024490533
313,173566.00951600552
314,174529.15685189172
315,176491.1635458901
316,178173.54825462506
317,176441.72131650796
318,180268.848271345
319,178401.94128739924
320,173796.6374004699
321,172108.68288002734
322,171092.54075153283
323,168782.94769506034
324,166012.26257109307
325,166171.63563472146
326,168401.4972906716
327,172646.41570746986
328,172442.64530454035
329,177276.86844795628
330,182296.9925642438
331,176495.94623048365
332,177198.52608562165
333,179972.91370482958
334,183584.20050743717
335,185274.23442645057
336,184350.87790375346
337,183335.90353487013
338,183703.07056707842
339,182193.5454921114
340,183415.63022280612
341,185460.3740474042
342,186008.78827238927
343,185918.37111139132
344,187030.56415881484
345,187136.43973657914
346,190328.1832286061
347,188529.82039996702
348,185060.70409531074
349,187366.0210757984
350,187453.545023496
351,187160.74782695697
352,185283.37294818947
353,184852.11055236042
354,185221.12215821887
355,185531.60175915624
356,187326.03814925218
357,188785.38874651177
358,188468.24778685367
359,188003.62346507824
360,190860.86255393672
361,194357.5720721221
362,194541.1186722235
363,193685.60999164224
364,197190.33898207732
365,195289.49703564693
366,194670.96337916574
367,196288.35123120464
368,195316.5633983177
369,198008.35343196001
370,202325.77796309767
371,203988.06226455612
372,201222.5837469813
373,206719.15599089616
374,212932.73420636024
375,215724.7302224394
376,219827.73114756856
377,219721.07735371712
378,220886.22966806212
379,223132.6083900204
380,214854.25222291346
381,216350.84161116494
382,217830.73328414708
383,217616.8972693676
384,212733.69282709778
385,209953.79381780335
386,207828.64689958972
387,211263.82822404287
388,211703.63857220483
389,200344.59885109734
390,198502.49912811373
391,199677.56332368773
392,202858.94879656308
393,200795.58605707917
394,204127.8569463796
395,199826.24877979906
396,193110.82669555792
397,185054.66413785316
398,185425.18978574892
399,184482.5226715585
400,188257.14214224927
401,189945.2986548177
402,189416.91174904516
403,193937.72442293182
404,192154.725852496
405,197409.34056290006
406,198056.50525564665
407,200689.10728440687
408,201090.14977101635
409,201359.44930822085
410,196548.99711997184
411,199513.18111058458
412,197752.35198943858
413,196303.173368417
414,194118.93001705443
415,195067.8290271664
416,198626.1904989962
417,194196.453831567
418,194567.17086112523
419,197916.79777600276
420,190610.16273263714
421,192343.1155146286
422,195666.02902378718
423,199035.0364695516
424,201185.0925529588
425,202169.43820654598
426,200307.69106599613
427,201691.69239610832
428,201923.3738510219
429,208464.88474302992
430,207801.37103062705
431,209420.4333858755
432,210014.09236068535
433,210054.64174403888
434,209756.25931029522
435,210130.20571292975
436,211624.44542610677
437,208880.12120350587
438,206808.48796874407
439,204532.13184723846
440,207609.83865880838
441,202202.55194611408
442,204850.45288286512
443,205149.4199629172
444,204896.44432713115
445,201847.86923385545
446,203190.3769430294
447,203831.31965312344
448,203294.48580828254
449,202927.44087463358
450,203969.06276123028
451,204124.03846394777
452,205106.16451479198
453,201461.64485417827
454,210621.93785851393
455,213511.01349194837
456,213164.93719961797
457,214573.4305006068
458,215285.8608245723
459,208367.42891823637
460,210702.78180087995
461,208335.205839225
462,211301.91859663234
463,221586.64984623468
464,226072.6807266489
465,228361.3063016548
466,231632.51905464992
467,230131.61712553966
468,231244.6758233846
469,227976.91166461393
470,224746.680038202
471,228488.21854767165
472,231137.278665679
473,229551.92540268405
474,225648.68811148693
475,227024.16706070097
476,227806.30906759592
477,231036.45764346933
478,229300.34024586077
479,231913.51494747394
480,236108.54006810582
481,236556.4572667741
482,240068.43806840797
483,242245.47258848522
484,246901.08092075615
485,248023.3032891805
486,251896.1222129574
487,259218.5691063593
488,257576.3422645201
489,258669.06676186138
490,266060.84745291853
491,268109.3934956376
492,256114.83365971554
493,256644.44271884384
494,256945.9106399102
495,259005.32994907824
496,265208.84370703914
497,263693.78611414926
498,257941.21529985205
499,253899.2688388042
500,250538.583397668
