step,portfolio_value
0,99964.53303560753
1,97678.3166399361
2,100062.97096249834
3,101980.77373986563
4,102749.06328027308
5,106473.9889156085
6,106717.0263710735
7,107667.41502280702
8,108907.66214784485
9,107755.98595220073
10,107196.13253931754
11,111390.32416011007
12,114321.74672085418
13,113762.98095982833
14,113232.59010720307
15,117769.50489057795
16,121861.7395616353
17,118298.38160539026
18,121011.05081555164
19,123692.41207166678
20,130330.93796004249
21,127674.10210445113
22,126945.60201533
23,129920.48650570308
24,127452.0963320189
25,126162.7418544698
26,124588.30045036513
27,126053.89491454289
28,127977.90056030698
29,129661.91073220763
30,126070.17654937493
31,125718.70714719252
32,121842.24610926645
33,122506.42806480032
34,122856.72600983291
35,120177.22162408255
36,122044.88096545271
37,121836.76534347615
38,120382.09324349457
39,119971.79979283773
40,123230.93935564431
41,123435.29427240357
42,121656.76427800301
43,121274.70149063414
44,118642.97429150317
45,117208.88374742938
46,118726.41954468923
47,122273.0876869559
48,123295.38878923916
49,127323.32318529951
50,126981.57343956099
51,126742.08987308349
52,130850.3250725642
53,128734.55628045648
54,130123.9392108679
55,130175.43797489423
56,128898.30411800349
57,127766.13373518347
58,130277.56273921051
59,131378.5517100682
60,134893.58375394766
61,133284.9956396432
62,133386.80681230235
63,131048.69744863475
64,133036.82691058295
65,131873.8807537617
66,130550.78354813822
67,128902.29766874181
68,133016.04135923224
69,132876.57302507485
70,132771.61093260034
71,132061.69644320753
72,132155.4727941244
73,129368.03975833175
74,130229.69200077064
75,129471.50542957667
76,126938.6596915294
77,128244.91164527928
78,133011.13464955226
79,132987.6226904907
80,131532.6431389832
81,131055.71522748658
82,130876.02885711155
83,130709.14435128831
84,134458.25524193337
85,135151.50978111004
86,134418.5302636725
87,137068.77561567258
88,139158.96658151216
89,137952.59638796814
90,137649.11105334928
91,139133.5927444773
92,141487.14368088183
93,143889.61312749647
94,143940.98599905404
95,145665.12417988776
96,143623.29704338117
97,143148.52556097618
98,144868.73703480436
99,148816.07907341348
100,150373.78658121856
101,150061.84766259126
102,152206.7073895062
103,154157.0719449707
104,155089.71551347608
105,155988.82077687109
106,152739.0103723065
107,155459.96642308286
108,156754.04505732836
109,159585.50916122628
110,160943.04057578568
111,161007.6351715809
112,162829.26146966434
113,161867.93762465258
114,163169.46143185257
115,159845.91458503736
116,163650.16200042996
117,161730.02824819318
118,157347.91419317827
119,160043.9804751183
120,161606.1297149196
121,161170.14343544154
122,163759.89648466927
123,165537.60287617476
124,166225.12610316332
125,164953.30177124368
126,164307.6324371049
127,161344.1027374191
128,161947.22631346816
129,163966.17124411074
130,167767.149870082
131,168798.39756392094
132,170022.34969950715
133,171248.1191459898
134,171000.90047068798
135,164377.22768566175
136,163756.98060618408
137,165271.24468439558
138,165787.9251058705
139,166238.2679361812
140,164298.2302803129
141,168703.1677395021
142,169101.83347044903
143,167393.59167409394
144,163411.1170416892
145,163954.34119387926
146,164426.52796385973
147,165282.98942716877
148,164259.33375649486
149,161666.55695417948
150,162291.4234530891
151,161642.05350987933
152,162812.0015565465
153,160248.61417766963
154,158059.74421625925
155,156402.89475320233
156,155149.53870039122
157,158754.37598036393
158,159399.02755865053
159,162163.46616092138
160,158168.2973577069
161,160406.66212090047
162,161043.12964637866
163,165993.8073502332
164,166995.12667600636
165,167881.31930009
166,166458.28473859178
167,168377.79253461875
168,165711.28580470098
169,165196.4763287116
170,165720.32224333793
171,170947.7357424011
172,168136.57942048804
173,169855.33900352134
174,171328.996465053
175,168925.01173661862
176,168356.5584963185
177,168070.87858281247
178,164481.11116914116
179,160937.46515492475
180,159381.59763265803
181,160686.05981913238
182,157096.47125253576
183,156897.85133613992
184,158223.6786135196
185,158965.7325457363
186,161611.34904372666
187,158261.55390817588
188,162184.0808629339
189,162013.9726708791
190,164469.9203820262
191,165174.59999269008
192,165651.45394412475
193,167439.54424295138
194,166708.03459950376
195,163995.10158818017
196,165941.32009296448
197,165590.96816479217
198,162311.5204835032
199,159360.25338883532
200,155969.28192278757
201,156810.6670865984
202,158688.59796868174
203,153844.94092228086
204,149691.85143243888
205,152348.5217190157
206,153711.96165362973
207,154407.76423841828
208,157951.72386989347
209,161291.18431333185
210,162284.20855381727
211,163555.6628199458
212,165705.5328125879
213,166209.403515484
214,163327.31864543539
215,166858.67800489746
216,167359.53853295674
217,171356.4653809929
218,171834.32963433754
219,171941.21372827812
220,171623.3080713048
221,173299.69912169236
222,173229.83060735883
223,173852.48462387052
224,173309.56319461914
225,173640.67855385368
226,175729.20268423072
227,174082.1393809645
228,172926.0869987044
229,172626.97430651952
230,170142.93101532853
231,172556.86549710858
232,171299.85880280065
233,174695.21041840562
234,175069.3661757522
235,172949.51361930228
236,173293.67598805085
237,174537.35316604064
238,174993.45080160518
239,176479.1601838911
240,177980.84065109232
241,179113.8372844828
242,177126.86998548522
243,179366.87929174572
244,179166.8912518982
245,179655.5079220524
246,179985.4682991654
247,179018.23452149256
248,177757.87323094212
249,175131.07771714826
250,173286.63326391522
251,170980.59547875013
252,170755.4711557747
253,174341.33250221098
