step,portfolio_value,weight_0,weight_1,weight_2,weight_3,weight_4,weight_5
0,101359.30885500855,0.0030667507,0.05038268,0.06615834,0.079266645,0.5361375,0.26498815
1,102793.7697845545,0.0030483715,0.049957864,0.06618856,0.07940113,0.53548545,0.26591864
2,101116.1463724131,0.003008562,0.0496531,0.06620578,0.07885344,0.53669107,0.265588
3,101715.67853759136,0.002976389,0.049402468,0.065563254,0.07903579,0.53725016,0.26577199
4,103369.74562957592,0.0029652533,0.049315743,0.064989395,0.0793165,0.5375841,0.26582906
5,103633.79934176653,0.0029646505,0.049227905,0.064867355,0.079782784,0.53602266,0.26713464
6,105461.28920304359,0.002970807,0.049432136,0.06484358,0.08012481,0.5361943,0.2664344
7,103745.8973507957,0.0029671171,0.04943299,0.06475797,0.08019117,0.5353458,0.26730502
8,101607.37679087458,0.0029779265,0.049514096,0.065164104,0.079709776,0.5358367,0.26679745
9,102935.4879304637,0.0030039102,0.049670614,0.06565857,0.07946635,0.53627384,0.2659267
10,104012.67516915078,0.0029750837,0.049418468,0.06551178,0.079254836,0.5367097,0.26613012
11,103415.56437791836,0.0029655034,0.049172822,0.06524802,0.07912573,0.5372643,0.2662237
12,102306.4747425107,0.0029703283,0.049004626,0.06530184,0.07930201,0.5373671,0.26605406
13,102529.83898469833,0.0030110355,0.049422793,0.06586759,0.07937427,0.5359598,0.2663645
14,104577.64800452281,0.00302715,0.049457792,0.06570646,0.07967282,0.5353089,0.26682693
15,103588.15138497962,0.003042407,0.0493007,0.06557079,0.079779595,0.5357985,0.26650795
16,103860.89917907216,0.0030351242,0.049325254,0.06532978,0.07962461,0.53671134,0.2659739
17,103972.96723513302,0.0030797897,0.049733773,0.0655807,0.080071844,0.53651184,0.26502204
18,104125.57213619455,0.0031290762,0.05000611,0.06612089,0.08023909,0.53477895,0.2657259
19,105163.6016925243,0.0031574927,0.05020297,0.066526905,0.08012766,0.5344099,0.26557514
20,105467.90537034217,0.0031423634,0.04995246,0.06642928,0.07972683,0.5352194,0.2655297
21,102996.75298448883,0.0031349205,0.049918074,0.066360176,0.079996936,0.5355259,0.26506394
22,99969.94490821107,0.0031334902,0.05009713,0.066522405,0.07978378,0.5352796,0.26518363
23,99149.88460058474,0.0031390775,0.050111096,0.06643457,0.080066234,0.5349331,0.26531586
24,100696.41956412862,0.0031652309,0.0502092,0.066484496,0.080331996,0.53465337,0.26515567
25,99875.42158560088,0.0031824938,0.050135497,0.0665566,0.080268905,0.5347489,0.2651076
26,100083.49834887344,0.0031965987,0.050089985,0.066614784,0.08027775,0.5345829,0.26523796
27,101666.67550598648,0.0032353175,0.050287742,0.06641317,0.08064366,0.53426266,0.26515737
28,100478.39971959035,0.003249306,0.050384887,0.06660118,0.08047479,0.5340907,0.26519915
29,101020.73566771565,0.003255601,0.05049402,0.066724196,0.08056778,0.5340609,0.26489753
30,99795.30609889899,0.0032306644,0.05044377,0.066380695,0.080788895,0.5348236,0.2643324
31,101964.18434294577,0.0032348821,0.05026477,0.06670485,0.08018798,0.5351198,0.2644878
32,102200.77470439805,0.0032457523,0.05032161,0.06701574,0.08047079,0.53368926,0.26525685
33,103641.12750266002,0.0032220497,0.050274346,0.066916965,0.08015878,0.533941,0.2654868
34,103460.31634717704,0.0031907288,0.050106637,0.06634357,0.08012212,0.5348579,0.265379
35,103297.35968185951,0.003200709,0.05038256,0.06660401,0.0801263,0.53501433,0.26467207
36,102778.71142763988,0.0032152461,0.05062433,0.06673379,0.080277115,0.5344795,0.26467
37,103361.39632820716,0.0032136638,0.05073645,0.0669813,0.07998756,0.5339223,0.26515868
38,103846.03659254282,0.0032136508,0.050697796,0.06670613,0.079845,0.53515667,0.26438078
39,103103.37481463295,0.0032261098,0.050663475,0.06689113,0.08016823,0.5340546,0.26499644
40,103747.88794961777,0.0032462562,0.050947107,0.067008145,0.080238834,0.53478426,0.26377538
41,101898.66567229277,0.0032044614,0.050616905,0.06663819,0.080100216,0.5354879,0.2639524
42,102161.52031748573,0.0032175507,0.050862547,0.06670731,0.08009916,0.5352379,0.26387557
43,101917.9286803915,0.003210582,0.050758757,0.066755064,0.08019499,0.5346867,0.2643939
44,102259.48479318628,0.00319411,0.05065678,0.0667057,0.080176875,0.53508574,0.26418075
45,103567.08006268367,0.0031685214,0.050563116,0.066170044,0.080680095,0.5340085,0.26540974
46,104555.35860479642,0.0031484242,0.050334547,0.0661809,0.080094814,0.5354568,0.2647846
47,103284.34612020293,0.0031393296,0.050162256,0.066367105,0.079943255,0.53542775,0.26496023
48,104857.58756688867,0.0031280397,0.050098777,0.06631502,0.07987685,0.5365028,0.2640786
49,103350.18834066074,0.0031023147,0.049943645,0.06609359,0.07983145,0.53554446,0.26548454
50,100373.40475920531,0.0030615402,0.049683716,0.06557053,0.07987936,0.53562236,0.26618248
51,99643.33986498062,0.0030674443,0.050007917,0.065728836,0.07986651,0.5357292,0.2656001
52,98952.65196389535,0.003086682,0.050131306,0.066053025,0.07998973,0.5352888,0.26545045
53,96972.41340206967,0.0031093983,0.050289817,0.06632099,0.079995856,0.53530425,0.26497972
54,95498.25618330698,0.0031038034,0.050257597,0.06612259,0.07996685,0.535897,0.2646521
55,95101.25556937531,0.0031432253,0.050500818,0.066443965,0.08027557,0.5346725,0.26496392
56,96616.00249953603,0.0031555202,0.050412714,0.066313535,0.08042257,0.5341033,0.26559237
57,99894.34721457263,0.0031650732,0.050411854,0.06616949,0.08053303,0.5345574,0.2651631
58,99662.65012205839,0.0031751245,0.050196007,0.06614632,0.080894925,0.53399014,0.26559746
59,101374.04797854394,0.0031872678,0.05018005,0.06615955,0.08109526,0.5337667,0.2656112
60,104853.21572738444,0.0031756838,0.050015654,0.066235214,0.08065035,0.53430736,0.2656158
61,101011.88150011249,0.0031466116,0.04988631,0.06619527,0.08033166,0.5350758,0.26536438
62,101482.99296837898,0.0031182182,0.049835213,0.06613409,0.08004593,0.53456634,0.2663002
63,102347.14837754864,0.0031074632,0.04981191,0.06588762,0.07987982,0.5362338,0.2650794
64,104131.72956534824,0.0031026865,0.04989241,0.06619888,0.07971895,0.5360568,0.26503026
65,105708.12655435828,0.0030675346,0.04976473,0.065583214,0.07975239,0.5364966,0.26533553
66,104254.37649351751,0.0030294426,0.04959717,0.0650381,0.07961462,0.5368528,0.2658678
67,103827.73172860352,0.0030520873,0.049960826,0.065523334,0.07972935,0.53578246,0.2659519
68,103769.06202911217,0.0030700904,0.05004399,0.06559681,0.08017357,0.53523904,0.26587656
69,103359.80559196658,0.0030472449,0.049941488,0.06537897,0.07997871,0.5350214,0.26663226
70,103863.86481658385,0.0030424092,0.049573902,0.065315105,0.07971507,0.53606313,0.2662904
71,105262.10651040307,0.003073907,0.04988812,0.06567851,0.07963118,0.5366148,0.26511353
72,105819.72511258635,0.0030405624,0.049402636,0.06542371,0.07939486,0.53698534,0.26575285
73,105671.30709250635,0.0030094918,0.049156047,0.06540612,0.07862306,0.5385751,0.26523018
74,106117.98012108423,0.0030194928,0.048930578,0.06554613,0.07888765,0.5378603,0.2657558
75,106447.07945282928,0.002960843,0.048839975,0.065044865,0.07869523,0.5389585,0.26550055
76,108901.12553208784,0.0029243464,0.0485768,0.064933345,0.07848798,0.5383194,0.26675808
77,107982.1249663205,0.002918323,0.04863066,0.06481613,0.07855123,0.53845805,0.26662564
78,106163.58809842498,0.002898142,0.04872086,0.06495014,0.07773619,0.53933156,0.26636314
79,107624.95733658507,0.00291139,0.0489441,0.06515021,0.07822,0.538588,0.26618633
80,107371.65840422084,0.0029446408,0.048974883,0.06554156,0.07823518,0.5383663,0.26593742
81,107106.28998601322,0.002952448,0.049178805,0.06567344,0.07831615,0.5377167,0.26616254
82,105323.23989011954,0.0029571482,0.049200196,0.06576409,0.07847262,0.5376344,0.26597154
83,105208.26837125437,0.002944958,0.04924937,0.0656852,0.07861423,0.5371324,0.2663739
84,104861.48064678797,0.002945938,0.04917193,0.06558336,0.07885678,0.53648806,0.26695386
85,105042.99555815369,0.0029775538,0.04937038,0.06583863,0.07915825,0.53537965,0.26727545
86,106345.43794822806,0.0029861894,0.049470946,0.06584718,0.07958461,0.5348309,0.26728013
87,107060.04361151936,0.0029909078,0.049513962,0.06571186,0.07951854,0.5355978,0.2666669
88,106825.37817686835,0.0030129813,0.04965984,0.06590182,0.0797351,0.5349734,0.26671687
89,106814.46794135605,0.0029880272,0.04961258,0.0658627,0.079420015,0.534973,0.26714367
90,107411.60558753225,0.0029911117,0.049512077,0.06573114,0.07940676,0.53513753,0.2672214
91,109836.70254027816,0.0029783526,0.04920605,0.06574917,0.079191625,0.5351146,0.2677603
92,110548.93291220268,0.0029639741,0.04903742,0.06569972,0.079074286,0.53525144,0.26797318
93,109988.6143925826,0.0029479766,0.049092196,0.06551947,0.07901878,0.53571826,0.26770338
94,112464.89472184892,0.0029511093,0.04916531,0.06581946,0.07893236,0.5353241,0.26780763
95,111558.8918734807,0.0029426587,0.0491535,0.06561389,0.079143904,0.5353035,0.2678425
96,111016.6018338117,0.0029423852,0.049224466,0.06554805,0.07921338,0.5355445,0.26752722
97,112021.5264031865,0.0029177652,0.049048267,0.06539646,0.078602195,0.53608346,0.2679519
98,111530.1946096931,0.0028922183,0.048774846,0.06541249,0.07811427,0.5360804,0.26872572
99,113036.84526753148,0.0029032668,0.048599053,0.06533041,0.078121245,0.53770924,0.26733682
100,115044.28024042955,0.0028810499,0.048661314,0.06526082,0.07799701,0.53809446,0.26710534
101,115565.84076555351,0.0028920034,0.0485948,0.065475866,0.07873734,0.5364638,0.2678362
102,114401.70403041634,0.002857972,0.048613634,0.06498998,0.0783623,0.5384874,0.26668876
103,117957.96118719302,0.0028201963,0.048310928,0.06487933,0.0778365,0.53831553,0.26783755
104,121864.3037882672,0.0028270734,0.048500147,0.06510319,0.07795127,0.5364191,0.26919916
105,124186.60150839119,0.0028168208,0.04832924,0.06485858,0.07784782,0.53760356,0.26854393
106,126341.19437127443,0.0027970439,0.048168987,0.064697504,0.07791614,0.53832436,0.26809597
107,126269.83747704161,0.002792951,0.04812158,0.06509304,0.07771883,0.53846276,0.26781082
108,126568.38045450624,0.002720713,0.047760036,0.064333275,0.07743387,0.5398355,0.26791656
109,127934.69486216627,0.0026525422,0.047326136,0.063629694,0.076441154,0.5426915,0.2672589
110,122695.57294830524,0.0026476153,0.047395542,0.06399294,0.076488785,0.54072887,0.26874614
111,123537.38810941881,0.0026174115,0.0471481,0.06350011,0.07652308,0.5422144,0.26799688
112,124287.99864881314,0.0026441037,0.047485624,0.06378717,0.076973565,0.5408838,0.26822573
113,124038.1632233043,0.002626668,0.04736786,0.06393935,0.07672019,0.54074174,0.26860416
114,121589.67702160425,0.0026228062,0.04735641,0.063773654,0.076504834,0.54155135,0.2681909
115,120754.22007153876,0.0026287236,0.04732799,0.06408065,0.07640241,0.54250014,0.26706007
116,118943.73091633618,0.0026393512,0.04746592,0.06394451,0.07662069,0.5413524,0.2679772
117,121618.88642457032,0.0026303022,0.047068536,0.063941896,0.07666417,0.5411853,0.26850978
118,121434.24394544486,0.0026909558,0.04737012,0.06414151,0.07730728,0.5400081,0.26848197
119,114196.67159055661,0.0026646028,0.047166936,0.063781135,0.076800086,0.5416984,0.26788878
120,112945.41365640207,0.0027037608,0.047292672,0.06408682,0.07697724,0.54184115,0.26709837
121,113989.47914274926,0.0027385599,0.04750815,0.064283535,0.077361636,0.54026157,0.26784655
122,116080.68646522069,0.0027896643,0.047862772,0.06491876,0.07754677,0.53863496,0.268247
123,114247.00815032351,0.002820912,0.047912877,0.06457859,0.07801262,0.53904355,0.26763144
124,115235.88377039386,0.002859818,0.0479696,0.0648507,0.078103974,0.5396822,0.26653367
125,112783.36059709337,0.0029127349,0.04835997,0.06511298,0.07854527,0.53794366,0.2671254
126,109432.87176844444,0.0029221918,0.04842774,0.06505956,0.07861599,0.53776664,0.26720786
127,105344.03713638737,0.0029597988,0.04871323,0.0650588,0.078891434,0.53803,0.26634678
128,106169.41692837185,0.0030295765,0.049050238,0.065613486,0.07907159,0.53782815,0.26540694
129,104891.98393199597,0.0031652863,0.049885925,0.066738665,0.08007512,0.5346051,0.26552993
130,106902.76979950097,0.003194793,0.050018944,0.066959634,0.0802863,0.533345,0.2661953
131,107750.05718076373,0.0032554162,0.050495006,0.06692009,0.080817245,0.53199273,0.26651955
132,107462.50314659814,0.0032800704,0.050441507,0.066745564,0.08068458,0.53349674,0.2653516
133,110310.64865003002,0.003369551,0.050917815,0.067284785,0.081407204,0.53156227,0.26545843
134,109598.8669489317,0.003404946,0.051106766,0.06746023,0.08178032,0.5299389,0.26630884
135,112588.98636988919,0.003461518,0.05121513,0.06758668,0.08198852,0.5293646,0.26638347
136,112607.9196709957,0.003480989,0.05120275,0.0677009,0.08191415,0.53065336,0.2650479
137,114211.05382697425,0.0034654604,0.051282167,0.0680457,0.08169116,0.5307269,0.2647886
138,114534.93282043368,0.0034665768,0.05142389,0.06815182,0.081586495,0.5307564,0.26461485
139,114715.43918004764,0.003467934,0.051378272,0.068254106,0.0812182,0.53056,0.26512152
140,111429.0187019805,0.003445976,0.051501505,0.068251394,0.081258826,0.53058004,0.2649623
141,113159.18881954056,0.0033966494,0.051338572,0.06756856,0.08119105,0.53127545,0.26522964
142,111687.02520896061,0.0034038601,0.051521234,0.06778477,0.08143844,0.5305305,0.26532125
143,111019.57213035476,0.0034076246,0.05155751,0.06812098,0.08096443,0.53085595,0.26509348
144,109832.661831963,0.0034317088,0.05155798,0.06815017,0.08092389,0.531994,0.26394224
145,110347.87690222301,0.0034351111,0.05147084,0.06820535,0.08083754,0.53192174,0.26412937
146,112373.90746671373,0.0034458744,0.051689934,0.06815517,0.08121087,0.53094023,0.26455793
147,110193.9735018729,0.0034398611,0.05154038,0.06813517,0.08152213,0.53028876,0.26507366
148,111115.79278799938,0.0034055766,0.05145385,0.06808494,0.08127902,0.53028476,0.26549187
149,112771.58553209882,0.0033991393,0.05122089,0.06793684,0.081410065,0.53073835,0.26529473
150,108567.58393804626,0.0034085603,0.05128737,0.06815881,0.081755705,0.52932644,0.26606306
151,109960.82622531214,0.003365387,0.05103637,0.06803235,0.08117247,0.53026855,0.26612487
152,112672.8543469478,0.0033387393,0.050872106,0.06759674,0.081115045,0.53111106,0.26596633
153,114640.72538552905,0.003338704,0.050801333,0.067777194,0.080980875,0.5310024,0.2660995
154,115759.03800584318,0.003318722,0.050811347,0.067532465,0.080717795,0.5325804,0.2650393
155,116480.07047357589,0.003317561,0.050758444,0.06752352,0.08098563,0.53154254,0.26587233
156,115919.96334142348,0.0033003944,0.05070385,0.067167304,0.08107041,0.5314701,0.2662879
157,116784.06102250543,0.0032825535,0.050612677,0.06722909,0.080708034,0.5317179,0.26644978
158,116190.85170466933,0.0032847258,0.05073752,0.06721802,0.081046864,0.53093314,0.2667797
159,120098.47078422045,0.0032665338,0.050658055,0.06729213,0.08038306,0.53192675,0.26647353
160,118999.99434883162,0.0032680565,0.05064528,0.067414664,0.08029504,0.5325785,0.26579836
161,120252.62450681604,0.0031921319,0.0500975,0.06732744,0.07938391,0.5341891,0.26580983
162,120207.3026222643,0.0031729802,0.050027173,0.06687614,0.07957357,0.53484184,0.2655083
163,120860.57923517204,0.003160266,0.050055787,0.066699296,0.07954206,0.53457075,0.26597178
