step,portfolio_value,weight_0,weight_1,weight_2,weight_3,weight_4,weight_5
0,98182.3847306637,0.018075915,0.040914223,0.013770276,0.49743614,0.252473,0.17733046
1,97456.95231033518,0.018289972,0.041267157,0.013792014,0.49515727,0.25307637,0.1784172
2,95117.76032916032,0.018369654,0.04118553,0.013785961,0.49669415,0.25233322,0.17763141
3,96635.08034096449,0.01841326,0.041594904,0.013914596,0.4956778,0.25176045,0.17863905
4,98301.41212970555,0.018743094,0.04158123,0.01408172,0.49625835,0.2515534,0.17778231
5,98635.32451392183,0.01858718,0.041673068,0.014195197,0.49561453,0.25187784,0.1780522
6,101913.70140718443,0.018768137,0.041727755,0.014301833,0.49494943,0.25221428,0.1780385
7,102045.47335908966,0.019107144,0.041575696,0.014433012,0.49658406,0.25105792,0.17724219
8,102587.42035768331,0.019647539,0.041977834,0.014960536,0.49271867,0.25221154,0.17848396
9,103616.28912177961,0.01991132,0.042134847,0.015015763,0.49333498,0.2512444,0.17835866
10,102622.3478711058,0.019932436,0.042122625,0.015064723,0.49701774,0.24916093,0.17670149
11,103021.3314469922,0.020433713,0.04258528,0.015346865,0.4948096,0.2503089,0.17651568
12,107699.69846417714,0.020528616,0.04272415,0.015564238,0.49208623,0.25178516,0.17731155
13,110514.0395233489,0.020519715,0.04268697,0.015456275,0.4923974,0.2517263,0.17721337
14,109355.11042963492,0.020245306,0.042406473,0.015362715,0.49344063,0.25222346,0.17632142
15,107887.76275792983,0.020217154,0.0422914,0.015235288,0.49352312,0.2522415,0.17649148
16,112202.90875060213,0.020010272,0.0421278,0.015044167,0.49381724,0.2522872,0.17671329
17,115550.5555026129,0.019584049,0.04139387,0.014820978,0.4942032,0.25474253,0.1752554
18,112106.84801625765,0.019313604,0.040773313,0.014561581,0.4954584,0.2555583,0.17433478
19,114650.92783301022,0.01888748,0.040140953,0.014250909,0.49667728,0.25594682,0.17409661
20,117160.75845385091,0.018623287,0.039680906,0.013919839,0.49837098,0.256522,0.17288303
21,123882.25758670026,0.01846657,0.039492436,0.0136970775,0.49919307,0.25716767,0.17198323
