step,portfolio_value,weight_0,weight_1,weight_2,weight_3,weight_4,weight_5
0,95467.96498763295,0.07179628,0.23876017,0.067116,0.18360221,0.11541629,0.32330906
1,96544.63767928914,0.072710134,0.23948577,0.06716512,0.18305144,0.115270466,0.32231703
2,94535.36638356325,0.07308878,0.23837195,0.06710725,0.18491338,0.11508354,0.32143515
3,96697.41551901634,0.07348663,0.23723051,0.06774847,0.18410969,0.11572069,0.32170406
4,98963.89931070148,0.0745423,0.23878673,0.067815505,0.18486856,0.11573574,0.3182511
5,99191.2405984297,0.073592275,0.23825496,0.06855543,0.18472247,0.1154887,0.31938624
6,102238.2352879507,0.074269526,0.23653057,0.06846991,0.1853742,0.116242915,0.3191129
7,102383.7733075563,0.07537902,0.23712504,0.06860351,0.18490107,0.115795225,0.31819606
8,102776.38422379452,0.07622823,0.23597316,0.069461375,0.1844995,0.11586215,0.31797558
9,105147.63647210793,0.07667785,0.23561358,0.06874484,0.18577628,0.11551058,0.31767684
10,104017.15879509869,0.07661091,0.23573273,0.068914846,0.1862945,0.11478651,0.3176605
11,103696.2009789403,0.07690788,0.23672596,0.06862811,0.186065,0.1152038,0.3164693
12,107512.18664880907,0.076649964,0.23597033,0.068907164,0.18578511,0.11565798,0.31702945
13,111252.49999768537,0.07684451,0.23738283,0.06809504,0.18532918,0.11536975,0.31697875
14,111000.6036163872,0.076492734,0.23761281,0.06830381,0.18465115,0.115344085,0.31759542
15,110480.30896978536,0.07628485,0.23884198,0.06753547,0.1844519,0.11489418,0.31799155
16,115781.2073513394,0.075681545,0.23961434,0.066771805,0.18323553,0.11485246,0.31984428
17,120875.946561392,0.07470037,0.24046238,0.06660305,0.18315011,0.11566782,0.31941622
18,116862.01429751844,0.0742684,0.23983575,0.06629504,0.18299633,0.11558763,0.32101682
19,119497.6387142174,0.073323525,0.24017006,0.065576985,0.18313938,0.11539881,0.32239124
20,122325.34707896541,0.07344582,0.2413293,0.06483795,0.18243654,0.1153668,0.32258362
21,127780.15550366597,0.07315385,0.24270649,0.06448668,0.18186513,0.11532166,0.32246628
22,127252.23558443907,0.0723254,0.24278572,0.06320193,0.18144226,0.11437135,0.3258733
23,127148.50219309967,0.07224644,0.24344982,0.06300204,0.18029863,0.114269994,0.3267331
24,129849.22835809394,0.070350535,0.2426281,0.062730454,0.18117812,0.11444148,0.32867137
25,128261.03005813254,0.06955225,0.24452193,0.061232135,0.18015802,0.114311695,0.330224
26,127988.90704192006,0.068456076,0.24727245,0.06074054,0.17961277,0.113690004,0.33022815
27,125737.79382051743,0.06744176,0.24717899,0.060715806,0.17778966,0.11376355,0.3331102
28,126451.5134657434,0.06708938,0.24661528,0.0608346,0.1778316,0.1142589,0.3333703
29,129556.22714905828,0.06674167,0.24984235,0.05950797,0.17742617,0.11306161,0.33342028
30,131583.6318761371,0.065242656,0.25125644,0.05919388,0.1751559,0.11316696,0.3359842
31,127741.20336474822,0.064104766,0.2500053,0.059461564,0.17534749,0.11374086,0.33734006
