step,portfolio_value,weight_0,weight_1,weight_2,weight_3,weight_4,weight_5
0,100340.28438674862,0.012617313,0.00023341762,0.61229396,0.19930592,0.07927695,0.09627236
1,99757.33358853248,0.012567023,0.00023076766,0.61708945,0.19685727,0.07900074,0.09425466
2,97371.27103533896,0.012592038,0.00023337186,0.61726654,0.19723584,0.078676745,0.09399554
3,100079.22464004032,0.012682414,0.00023913667,0.61544317,0.19743435,0.07929053,0.09491038
4,101788.673477723,0.012934155,0.00024419356,0.61711526,0.19583656,0.07941911,0.094450735
5,103676.30393380637,0.012872542,0.0002466688,0.6187347,0.19475964,0.07928599,0.094100446
6,108713.48144885014,0.012875733,0.000248179,0.6168343,0.19606596,0.079423726,0.09455204
7,108879.00152022099,0.013082083,0.00025167668,0.61766183,0.19551764,0.07988636,0.09360045
8,111047.00497144584,0.0131522,0.0002565549,0.61612415,0.19551295,0.08032362,0.09463046
9,110244.98660982893,0.0131729515,0.00025975154,0.61436915,0.19592482,0.08032305,0.09595035
10,109403.6513658616,0.013383734,0.00026433106,0.6127675,0.1970551,0.080871314,0.09565802
11,108332.90418707221,0.013240811,0.0002606213,0.6126626,0.19687055,0.081146754,0.09581866
12,112827.30369968279,0.0132182585,0.000260319,0.61186117,0.19769752,0.081453525,0.09550919
13,114351.97162040905,0.013187002,0.00026180779,0.6113402,0.19742942,0.081654996,0.09612647
14,113007.5403625346,0.013082979,0.0002547137,0.61163133,0.19793932,0.081291765,0.09579989
15,113042.97193752024,0.012936181,0.0002483612,0.6117128,0.19803011,0.081233636,0.09583892
16,116501.64908556716,0.012718293,0.00024306863,0.6127663,0.19766478,0.08123408,0.0953734
17,120335.96165545518,0.0125542525,0.00023498945,0.6137543,0.19815497,0.08060591,0.09469561
18,117600.98804305625,0.012363686,0.00022582432,0.6146547,0.19818723,0.08036842,0.09420005
19,120546.64699982949,0.012217995,0.0002217674,0.6136392,0.19991353,0.07994087,0.09406659
20,123112.79817869065,0.012045487,0.00021534206,0.61423224,0.19933842,0.07995831,0.09421019
21,131382.76323739794,0.011888946,0.00020808777,0.6143492,0.19943956,0.08014825,0.09396597
22,123693.0524788443,0.011475749,0.00019509548,0.61730146,0.19935726,0.07853194,0.093138546
23,122581.84970422417,0.011127503,0.00018198421,0.6188213,0.19971396,0.07788383,0.09227145
24,124168.36831994279,0.0108749615,0.00017251619,0.62059534,0.19821957,0.07755499,0.0925825
