step,portfolio_value,weight_0,weight_1,weight_2,weight_3,weight_4
0,100232.53558768737,-1.3108315,-1.6311151,-1.4947977,-1.6412818,-0.4833711
1,100945.07754198601,-1.3067309,-1.6252092,-1.4908357,-1.6371126,-0.48126623
2,102288.91017570597,-1.3018346,-1.6159813,-1.4843118,-1.6283569,-0.47951558
3,102600.72122626608,-1.3082409,-1.6187509,-1.4839363,-1.6238828,-0.48004237
4,102703.27696730434,-1.3102436,-1.6264415,-1.4914637,-1.6350653,-0.48219696
5,101521.23350883742,-1.3111134,-1.6291379,-1.4931233,-1.6370385,-0.48087886
6,102003.97782625208,-1.3210387,-1.644444,-1.5093226,-1.6538153,-0.48262987
7,101416.15329232249,-1.3057067,-1.6223408,-1.489052,-1.6336412,-0.4793115
8,101894.39512446262,-1.3096539,-1.6246647,-1.4921298,-1.6341541,-0.48079684
9,102383.02200946947,-1.3079209,-1.6240529,-1.4909763,-1.634598,-0.48154595
10,100131.4826485054,-1.3644311,-1.7152046,-1.5401475,-1.6958106,-0.4965144
11,97823.86903813721,-1.3596183,-1.7018849,-1.5476656,-1.6965251,-0.49705628
12,96654.39173110371,-1.3489499,-1.6860453,-1.5368485,-1.6870089,-0.49914435
13,98668.38145047051,-1.3581066,-1.7007332,-1.5446758,-1.6993029,-0.50915074
14,99369.54954564011,-1.3156714,-1.6391945,-1.4961159,-1.6455023,-0.4877285
15,99542.40582192251,-1.3142357,-1.6389645,-1.499368,-1.6482296,-0.4859949
16,100742.11208518964,-1.3190546,-1.637072,-1.497256,-1.640139,-0.48455194
17,96837.26268915967,-1.3080049,-1.6125252,-1.4788635,-1.6142509,-0.48940483
18,96891.39941431452,-1.3413227,-1.6646332,-1.5163605,-1.6602008,-0.50689626
19,97873.28585920317,-1.3100419,-1.628777,-1.491297,-1.637819,-0.48553863
20,98014.85375894446,-1.3133819,-1.6323359,-1.4954588,-1.6403481,-0.48520193
21,97468.51780886031,-1.3028288,-1.6207477,-1.4895887,-1.6357796,-0.4804912
22,97862.21526434337,-1.310179,-1.6273733,-1.4924822,-1.635962,-0.4813327
23,98305.46426518296,-1.3023584,-1.6208619,-1.4883733,-1.6353275,-0.48004046
24,100626.66230321802,-1.3141655,-1.6321877,-1.4939017,-1.6375825,-0.48421398
25,99706.95913697079,-1.2998791,-1.6210481,-1.4891863,-1.6391618,-0.4780685
26,99274.90311089433,-1.3161514,-1.6410611,-1.504045,-1.6524389,-0.48514953
27,99833.17127352559,-1.3380295,-1.6641797,-1.5165486,-1.6596644,-0.4920092
28,100043.03523911779,-1.3134534,-1.6271659,-1.4921205,-1.632405,-0.48471043
29,99403.21697764841,-1.3100984,-1.6283718,-1.4953957,-1.6398172,-0.4821271
30,101019.76852892156,-1.3073024,-1.6272603,-1.4940681,-1.6409016,-0.48150173
31,100126.98612515841,-1.3137155,-1.6309924,-1.4929397,-1.6366459,-0.47979346
32,99247.60835690035,-1.3227701,-1.6454144,-1.5092249,-1.652842,-0.4827977
33,95831.3585166131,-1.3402853,-1.6698982,-1.5234182,-1.668285,-0.49221578
34,95660.83541987542,-1.3496311,-1.6850047,-1.5358162,-1.68336,-0.49670032
35,96455.99030742656,-1.3272531,-1.6532079,-1.5093477,-1.6562088,-0.4886923
36,97502.5693154986,-1.314093,-1.6332403,-1.4939265,-1.6391213,-0.48416737
37,97711.5375406223,-1.3095962,-1.6278026,-1.4923377,-1.6377939,-0.4815543
38,96390.98850696527,-1.3108947,-1.6322805,-1.4958761,-1.6432748,-0.48511747
39,96846.03924603587,-1.3279822,-1.6547456,-1.5135062,-1.6606927,-0.49065784
40,97988.03052937359,-1.3172964,-1.6403197,-1.5013342,-1.6477525,-0.48545036
41,97885.21227066459,-1.3172787,-1.6357604,-1.4974244,-1.6406069,-0.48472658
42,96864.12175154628,-1.3172369,-1.6368419,-1.4972544,-1.6423173,-0.4856464
43,96581.89446961535,-1.3300695,-1.657413,-1.5148995,-1.6612995,-0.4905888
44,96667.74353495096,-1.3106523,-1.630942,-1.4950798,-1.6416259,-0.4824374
45,94728.33485418478,-1.3087931,-1.632545,-1.4963953,-1.6455235,-0.48417452
46,95370.60877726396,-1.3246149,-1.6488293,-1.5076585,-1.6539679,-0.48989144
47,94438.9759173009,-1.3110867,-1.6319922,-1.4936469,-1.6412891,-0.48431954
48,93339.20902337709,-1.3190236,-1.6417127,-1.5042031,-1.6501106,-0.4860113
49,91507.62124712791,-1.3238356,-1.6448846,-1.5003338,-1.6449773,-0.48922023
50,91474.4666444142,-1.3640723,-1.696654,-1.5397108,-1.6819141,-0.501263
51,91479.32503613978,-1.3333081,-1.6616231,-1.5167279,-1.6635816,-0.4924958
52,92973.29714218345,-1.3375568,-1.6636261,-1.5160954,-1.6605769,-0.4953461
53,92423.08590517784,-1.3117857,-1.6333079,-1.4968755,-1.643808,-0.48484322
54,92970.39369339458,-1.3082893,-1.6310515,-1.4980652,-1.6463825,-0.48183927
55,94385.45194595419,-1.3024962,-1.6210719,-1.4875882,-1.6341743,-0.48035118
56,94717.8432777926,-1.3032105,-1.6241375,-1.4891396,-1.6380514,-0.48228034
57,94595.91193857694,-1.3167689,-1.637625,-1.4990468,-1.6451385,-0.48626485
58,96026.95923928851,-1.3115056,-1.6309627,-1.4966445,-1.6421192,-0.48224804
59,96352.81570246979,-1.2983638,-1.6153566,-1.4830842,-1.6298268,-0.47842017
60,99703.40019654173,-1.3058274,-1.6267965,-1.4938073,-1.6423292,-0.48191634
61,98936.0968753182,-1.3106825,-1.6397576,-1.5029235,-1.6518874,-0.47042167
62,98351.82293106506,-1.3241794,-1.6486858,-1.5115561,-1.6568533,-0.48674467
63,98689.27647547094,-1.3171318,-1.6440514,-1.5084448,-1.6571805,-0.48224595
64,98674.84129976215,-1.3281298,-1.6532973,-1.5102575,-1.6585579,-0.49280134
65,99705.8619660988,-1.3179382,-1.6392945,-1.5007043,-1.6463612,-0.48611483
66,98794.91427272731,-1.3097637,-1.6311823,-1.4970686,-1.6440003,-0.48137102
67,97466.81379250465,-1.3175023,-1.6427971,-1.5082262,-1.6553361,-0.48287192
68,96222.40649860044,-1.3162258,-1.6414715,-1.5074394,-1.654495,-0.4826239
69,97033.6786869467,-1.3144203,-1.6396974,-1.5031061,-1.6522567,-0.48426405
70,96849.00413890259,-1.3077801,-1.6294922,-1.4961009,-1.6436075,-0.4814606
71,95067.28716131962,-1.3142576,-1.63614,-1.4990602,-1.6461895,-0.48849455
72,94381.35574492467,-1.3535644,-1.693651,-1.5422006,-1.6942871,-0.51382864
73,94734.48589901537,-1.3242261,-1.6504554,-1.5058572,-1.6544673,-0.49102762
74,96581.1607096425,-1.3105607,-1.6320775,-1.4957318,-1.6434948,-0.48252895
75,97800.56262362396,-1.3273182,-1.6520995,-1.5088513,-1.6544716,-0.4894109
76,97691.0339902761,-1.326098,-1.6524026,-1.5102491,-1.6562662,-0.48648944
77,98350.34598037023,-1.3015599,-1.6207086,-1.489435,-1.6368918,-0.4790183
78,100316.0183126797,-1.311449,-1.6332016,-1.4963131,-1.6438513,-0.489746
79,100650.5630992666,-1.2893509,-1.6130702,-1.4858301,-1.6393737,-0.49086604
80,100513.47027211361,-1.3087605,-1.623562,-1.4870503,-1.6305639,-0.48354438
81,100329.16981859539,-1.3726864,-1.6642946,-1.5021238,-1.613569,-0.50615674
82,99686.47186248162,-1.3177009,-1.6350356,-1.4967711,-1.6402831,-0.48891434
83,100048.13418189464,-1.311698,-1.6288363,-1.4931123,-1.6375178,-0.48423162
84,99149.0380052816,-1.3098807,-1.625998,-1.4894552,-1.6336441,-0.48366
85,99802.91783514076,-1.315676,-1.6365366,-1.5018682,-1.646831,-0.48399314
86,100819.62428945994,-1.3104489,-1.6285669,-1.4949577,-1.6392955,-0.48230752
87,101607.54391574384,-1.2943201,-1.6109017,-1.4825478,-1.6294466,-0.47825158
88,100103.06285316957,-1.3121969,-1.6187328,-1.4836152,-1.620304,-0.48375657
89,100627.77528350467,-1.3189993,-1.6366419,-1.5010486,-1.6431885,-0.48574796
90,99407.82139484506,-1.3032951,-1.6143347,-1.4805701,-1.6219682,-0.47949913
91,96532.16470144833,-1.3176783,-1.6367552,-1.5008612,-1.6442107,-0.48503765
92,96871.92184870417,-1.3331141,-1.6569535,-1.5141895,-1.6584573,-0.49460235
93,97715.31027630591,-1.3178382,-1.6363857,-1.4984303,-1.6419532,-0.48836938
94,99371.77431381508,-1.3025267,-1.6187431,-1.4848464,-1.630667,-0.4805484
95,98429.76019728907,-1.303179,-1.6228702,-1.4909048,-1.638678,-0.47854313
96,96862.29100301924,-1.3136125,-1.6353778,-1.5007751,-1.6469516,-0.48318663
97,96349.88889599449,-1.3115027,-1.631344,-1.495991,-1.6414812,-0.483003
98,98229.66820515707,-1.3135571,-1.6338567,-1.4998503,-1.6448665,-0.48282412
99,99076.38336788729,-1.2968091,-1.6146353,-1.4834728,-1.6315243,-0.47276896
100,99355.80824274234,-1.3052051,-1.6176575,-1.4859781,-1.6281929,-0.47815722
101,101138.66133360831,-1.3013849,-1.6169193,-1.486059,-1.6308906,-0.47713703
102,98875.46964813046,-1.3126113,-1.6321031,-1.4956112,-1.6410424,-0.48153737
103,99126.69256999056,-1.3372233,-1.6624824,-1.520957,-1.6635466,-0.4908029
104,98932.33187822702,-1.3105168,-1.6293212,-1.4957745,-1.6401296,-0.48183092
105,97412.14859503073,-1.3163579,-1.639376,-1.5052638,-1.6511571,-0.4789987
106,97002.14943913234,-1.3258507,-1.6513516,-1.5138426,-1.6589993,-0.48486504
107,96119.23775028753,-1.321709,-1.6483427,-1.5109208,-1.6584756,-0.4860238
108,96522.603486047,-1.3122323,-1.6340892,-1.5015223,-1.6477424,-0.48132864
109,95573.06395516741,-1.3051796,-1.6244954,-1.4924016,-1.6390278,-0.47964326
110,96067.31842392843,-1.3204253,-1.6441821,-1.506913,-1.6529824,-0.4853067
111,97186.7112622075,-1.310022,-1.6307794,-1.4958048,-1.6429274,-0.48197845
112,94984.40035942988,-1.3105705,-1.631453,-1.4980559,-1.6443145,-0.48216733
