step,portfolio_value,weight_0,weight_1,weight_2,weight_3,weight_4,weight_5
0,99271.61652377647,0.09564924,0.75297856,0.035232525,0.036657464,0.042840898,0.036641274
1,98117.52740356058,0.109841295,0.6977506,0.055978414,0.04633279,0.050707825,0.03938902
2,97868.37573693575,0.12366403,0.61581403,0.08277557,0.064707786,0.05291448,0.060124155
3,99857.55566162565,0.12699276,0.6279115,0.078184836,0.07155325,0.037369266,0.05798838
4,99837.5683295443,0.14863215,0.6168482,0.07471465,0.0723081,0.03715366,0.050343323
5,100407.27483737058,0.13033067,0.6407299,0.07406579,0.07239777,0.025861043,0.056614764
6,100069.70254903859,0.10867166,0.66827774,0.06592781,0.07124934,0.021933045,0.06394039
7,100072.69522894049,0.09481905,0.7388719,0.05167984,0.054540973,0.01900907,0.041079216
8,99156.87672474053,0.11546666,0.7217369,0.051680975,0.050352953,0.020103918,0.040658522
9,98636.66415470601,0.096237294,0.7848135,0.035225015,0.037293892,0.0188397,0.027590627
10,101452.38694228514,0.060128763,0.86203843,0.019091919,0.027812028,0.013254149,0.017674688
11,102902.28663151187,0.059101786,0.84209484,0.020626195,0.034051422,0.019692156,0.024433589
12,103889.32400620235,0.06607156,0.842939,0.018136663,0.025773136,0.021327898,0.02575176
13,104511.04500157549,0.07913115,0.81721276,0.019079333,0.028232269,0.02265587,0.03368881
14,104260.34090299938,0.10044552,0.8053279,0.015945643,0.025879744,0.023062453,0.029338758
15,103850.1386713477,0.085007615,0.8292529,0.012116235,0.024017932,0.022894816,0.02671052
16,103098.75326113975,0.09201146,0.82351094,0.013095273,0.020847073,0.02490829,0.02562684
17,102987.14947966968,0.091099724,0.814812,0.016101085,0.02796979,0.025967598,0.024049742
18,101301.68133028132,0.083768025,0.821191,0.015409053,0.026549824,0.028064968,0.025017194
19,99366.37393622693,0.086201206,0.8341278,0.013813148,0.019846462,0.023595914,0.022415463
20,100574.94481819232,0.0914734,0.81971407,0.017994955,0.02161658,0.02472377,0.024477119
21,100386.30507254228,0.09924769,0.7984178,0.023793189,0.02606628,0.025871973,0.026603013
22,101025.20154390782,0.108101435,0.7761367,0.02874504,0.03656413,0.020880597,0.029572101
23,101770.6811589085,0.111794956,0.7952975,0.024409767,0.026893785,0.014371136,0.027233016
24,101897.04834920113,0.09735979,0.8369076,0.02027546,0.02174316,0.007124733,0.016589167
25,101477.54963060806,0.12742229,0.75980663,0.036108784,0.03423902,0.012790252,0.029633034
26,102119.60948859788,0.14186837,0.70376575,0.049577396,0.040663652,0.020959195,0.043165665
27,101179.41601028049,0.13438341,0.6679728,0.05984057,0.046751443,0.03543208,0.055619784
28,99996.89111638733,0.15062289,0.6174159,0.06569624,0.05336866,0.04747703,0.06541937
29,100072.0062611945,0.124675885,0.6157802,0.07096409,0.059280235,0.05650498,0.07279465
30,100096.41105549976,0.10244447,0.68280643,0.054642435,0.057332825,0.04976638,0.053007424
31,99412.87051509149,0.11654126,0.56447387,0.08999514,0.08076243,0.07494848,0.07327877
32,98787.4221671131,0.14106904,0.44907972,0.1171656,0.09990075,0.09985063,0.09293421
33,99236.94907220772,0.13898659,0.4554615,0.12402006,0.11569761,0.07637437,0.089459844
34,100520.57151416896,0.14603658,0.51257265,0.105180435,0.11231026,0.054224156,0.0696759
35,99727.43631750587,0.11877323,0.61332285,0.0827026,0.087719366,0.03426033,0.06322168
36,99141.4479444036,0.10711861,0.62495726,0.08775489,0.07752139,0.035598744,0.067048974
37,99636.66715983405,0.12571225,0.5978427,0.10243873,0.07941675,0.039470527,0.05511911
38,99142.94035253624,0.12699501,0.6018014,0.11080033,0.07174849,0.041836016,0.046818815
39,99260.10642418529,0.11595132,0.6337112,0.09949778,0.0601701,0.039685566,0.050983965
40,98907.42402333682,0.10181246,0.68528956,0.08227883,0.04663896,0.038768742,0.04521145
41,96762.7636179382,0.110470764,0.5735254,0.10020191,0.087970324,0.068575576,0.059255946
