step,portfolio_value,weight_0,weight_1,weight_2,weight_3,weight_4,weight_5
0,100589.64948410794,0.4131191,0.041284498,0.032594487,0.011328848,0.02742001,0.47425312
1,100646.58189910975,0.41367924,0.041193802,0.032656178,0.011313505,0.027405584,0.47375166
2,98896.31922369407,0.4148692,0.04102563,0.03253039,0.011242744,0.027331902,0.4730001
3,99953.21534599025,0.41605577,0.04096937,0.0325426,0.011187059,0.027192844,0.47205245
4,100681.56412989956,0.41676438,0.041105863,0.03281327,0.011275822,0.027205044,0.47083563
5,101148.05784140137,0.4166578,0.041183896,0.03271966,0.011224617,0.02734435,0.4708696
6,102329.09773562313,0.4169387,0.041088115,0.032609344,0.011162921,0.027215756,0.4709853
7,100849.33940237096,0.41631955,0.04127233,0.032825474,0.011224416,0.02732102,0.47103712
8,99616.05018343909,0.416548,0.04099723,0.03260293,0.011166042,0.02713395,0.47155178
9,100868.93291583158,0.41638336,0.0414103,0.032874454,0.011320266,0.027480466,0.47053123
10,103743.8101171485,0.41651756,0.04146248,0.033004325,0.011381617,0.027640086,0.46999395
11,103543.13170886615,0.41628474,0.041922368,0.033395644,0.01159473,0.027897941,0.4689046
12,101969.9315498168,0.41649064,0.04198774,0.03337688,0.01163134,0.027999967,0.4685134
13,102275.49873275119,0.41649574,0.04210038,0.033584785,0.0117559675,0.027956724,0.46810645
14,103177.10720496572,0.41583005,0.04228602,0.03393546,0.011923262,0.028237307,0.4677879
15,101797.59026431428,0.41546926,0.04196346,0.033530165,0.011805088,0.02809283,0.46913916
16,103540.6292463461,0.4139901,0.042372484,0.033522263,0.011701775,0.028181141,0.47023228
17,103644.30599751,0.4137999,0.04273972,0.033812463,0.011764127,0.028421124,0.46946263
18,104150.53116007148,0.41291803,0.042792343,0.033954974,0.011787753,0.028394852,0.47015205
19,104231.30511640848,0.4132155,0.04294158,0.034186617,0.011852289,0.028529141,0.4692748
20,104419.72145513484,0.41201693,0.04307898,0.034177516,0.011922344,0.0287298,0.47007445
21,100743.44606957605,0.4125943,0.042880908,0.03407721,0.011911386,0.02859485,0.46994135
22,98601.01759302265,0.41273552,0.04301758,0.03411654,0.011907127,0.028588785,0.46963447
23,97472.38040964124,0.4118874,0.04320521,0.034257423,0.012038378,0.028808877,0.46980274
24,98156.12594089092,0.41197753,0.043067437,0.034120433,0.012009049,0.028685588,0.47013998
25,97305.75136292093,0.41198456,0.043128554,0.03414138,0.011996816,0.028762558,0.46998614
26,97933.82751760389,0.41109592,0.043200653,0.034194916,0.012006941,0.028723815,0.47077775
27,98036.03373205643,0.41168505,0.043419626,0.034536593,0.012094233,0.028891457,0.4693731
28,95927.93452026749,0.41148552,0.043450877,0.034607176,0.012098406,0.029010143,0.46934783
29,94255.83855760402,0.4114,0.043493148,0.03460038,0.012078532,0.02907764,0.4693503
30,94388.80160473801,0.41022998,0.043351274,0.03436651,0.012073615,0.0290261,0.47095257
31,97254.06727926277,0.41052225,0.043192662,0.034370694,0.0120751085,0.028949106,0.47089022
32,96709.36524141714,0.41125277,0.04329925,0.03451482,0.012158127,0.029111799,0.46966323
33,98003.65714511184,0.4110762,0.043465346,0.03453455,0.012153308,0.02915598,0.4696146
34,97106.28971960027,0.4122948,0.0433663,0.034676254,0.012145973,0.029034432,0.4684823
35,96638.07631716676,0.4117259,0.043244135,0.034390416,0.012099787,0.028910851,0.46962884
36,97055.02682396103,0.41177088,0.042867787,0.034038063,0.0119700795,0.028678171,0.470675
37,98329.206607711,0.41267452,0.042763352,0.034128025,0.012000927,0.028648471,0.4697847
38,99010.46749664686,0.41136765,0.04307238,0.034209907,0.012053118,0.028788233,0.47050864
39,97923.08921164772,0.41231555,0.0423553,0.033660524,0.011780175,0.02827048,0.47161794
40,97809.65414227176,0.41187394,0.042581882,0.033912774,0.011890417,0.028392328,0.4713487
41,95485.42160704432,0.4114431,0.04246948,0.033858635,0.0118758,0.028502245,0.4718507
42,96004.55760888226,0.41218105,0.042493407,0.03368349,0.011824212,0.028360024,0.47145784
43,96626.44860847716,0.4120927,0.042536583,0.03377308,0.011844859,0.028440678,0.47131217
44,95146.90195573038,0.41245803,0.04227274,0.03350533,0.011803679,0.028296093,0.47166407
45,97329.33376565785,0.41258344,0.042507846,0.033609483,0.011819323,0.028473195,0.47100678
46,98424.40881504909,0.41293517,0.042592525,0.033706687,0.0118623385,0.028382849,0.47052047
47,97016.9916910291,0.4126268,0.04246384,0.03359038,0.01178515,0.028228758,0.47130507
48,98058.50429401043,0.41294372,0.04215662,0.033379707,0.011682437,0.028108241,0.47172922
49,97052.25446724187,0.41235957,0.042460833,0.033638045,0.011766753,0.028371679,0.47140315
50,94284.64963129953,0.41286933,0.04233186,0.03339548,0.011686428,0.028328542,0.47138843
51,93001.03283351881,0.41266876,0.042088933,0.03318758,0.01163346,0.028079718,0.47234154
52,92461.0514643267,0.4128029,0.04199,0.033241466,0.011685589,0.027989578,0.4722905
53,90808.82614100393,0.41235322,0.042079613,0.03330537,0.011764443,0.028094761,0.4724026
54,89816.54628817274,0.41333053,0.041858763,0.033253234,0.01170429,0.028035387,0.4718178
55,88465.67949504251,0.41298392,0.041907836,0.03334235,0.011783098,0.028045999,0.47193676
