step,portfolio_value,weight_0,weight_1,weight_2,weight_3,weight_4,weight_5
0,91685.70892307487,0.16482572,0.088282645,0.0019602599,0.01675661,0.07488566,0.65328914
1,94518.69859189044,0.16385108,0.089201815,0.0020140256,0.017003423,0.074872606,0.65305704
2,92386.85095720454,0.16338527,0.08912221,0.0020073897,0.016992895,0.07446327,0.65402895
3,94284.99112319203,0.16439384,0.089983575,0.0020645282,0.017372169,0.07537969,0.6508062
4,98055.3802103157,0.16258791,0.08990288,0.0020994477,0.017473834,0.075542785,0.65239316
5,97673.59159794245,0.16172788,0.09024448,0.0021251813,0.017603332,0.07566101,0.65263814
6,100494.03198151586,0.16321906,0.09002025,0.0021381532,0.017720245,0.07615014,0.6507522
7,100750.81572198818,0.1644178,0.09050028,0.0021793693,0.018009763,0.076946534,0.6479463
8,100278.89975920277,0.16347027,0.09074918,0.0021857324,0.017997088,0.07647385,0.6491239
9,105185.07884041869,0.16494521,0.09142131,0.0022131568,0.01826891,0.0771529,0.64599854
10,103572.99699924742,0.16425222,0.0914676,0.0022102676,0.018111303,0.07734882,0.6466098
11,102645.24906750432,0.16529968,0.09142335,0.0021808057,0.018128436,0.07662617,0.64634156
12,106472.49829320311,0.16589363,0.09154315,0.0021421886,0.018057695,0.07620038,0.646163
13,112151.26590613657,0.1659068,0.0911912,0.0020835723,0.017845685,0.07561313,0.64735967
14,112262.39234429225,0.16557202,0.09104892,0.002016067,0.017515097,0.074588336,0.64925957
15,112392.66387307287,0.16554268,0.09062274,0.0019569206,0.017161733,0.07402356,0.6506924
16,120886.19889793002,0.16571122,0.08984484,0.0018825228,0.016828869,0.073440865,0.65229166
17,129789.62692204081,0.1654042,0.08954866,0.0017979956,0.016431408,0.07216573,0.65465206
18,123910.24961217333,0.1651239,0.088619106,0.001712707,0.015996609,0.07108831,0.6574594
19,127451.61667068217,0.16522866,0.087569036,0.001629218,0.015561242,0.070361786,0.65964997
20,131737.40537060448,0.16561732,0.086865306,0.0015563156,0.015206895,0.06894362,0.6618105
21,136051.62597897052,0.16382505,0.08606941,0.0015014979,0.014873964,0.06828569,0.6654444
22,136875.18294907818,0.16362704,0.08475208,0.0014027529,0.014313048,0.066878505,0.66902655
23,138892.04821567493,0.16389446,0.0838059,0.0013019168,0.013762407,0.065526724,0.6717086
24,140558.78786162214,0.16397785,0.08286843,0.0012372631,0.013326011,0.064077385,0.67451304
25,142356.66206861232,0.1629166,0.08145435,0.0011760961,0.012907218,0.063238315,0.6783074
26,145003.00258750792,0.16260517,0.080326214,0.0010877048,0.012394543,0.06168915,0.6818973
27,140019.25027056196,0.16245304,0.08014964,0.0010457992,0.012092258,0.060795166,0.68346417
28,139400.64405091968,0.16321918,0.079697445,0.0010032402,0.011896197,0.060054418,0.68412954
29,146550.4430572947,0.16377571,0.0791944,0.00096768595,0.011628694,0.059286352,0.6851472
30,149083.70627837736,0.16356397,0.07802124,0.00093908905,0.011435223,0.05893271,0.6871077
31,142859.67333979474,0.16372366,0.07741575,0.00091184356,0.011301873,0.05840106,0.68824583
32,145682.56232535216,0.16348703,0.07688564,0.0008976883,0.01117587,0.058211353,0.68934244
33,139879.09822017924,0.1632423,0.07668277,0.00088571024,0.011073079,0.057643313,0.6904728
34,141580.41939014985,0.16254123,0.07659991,0.0009095154,0.011134636,0.05812462,0.6906901
35,142299.21548272358,0.16249716,0.076604836,0.0009290427,0.011232539,0.0586997,0.6900367
36,139362.4111167657,0.16164443,0.0769744,0.0009490811,0.01129082,0.05908012,0.69006115
37,144728.92147152248,0.163123,0.077018395,0.0009654116,0.011536485,0.059671476,0.68768525
38,143750.26674306535,0.16269535,0.077874735,0.0010205872,0.011825076,0.06045767,0.68612653
39,142073.83846335334,0.16233362,0.078252345,0.0010569826,0.012069048,0.061060112,0.68522793
40,136627.29650887602,0.16176747,0.078356035,0.0010874928,0.012222009,0.061675906,0.6848911
41,140549.49815154023,0.1621656,0.07857411,0.0011341226,0.012431044,0.062772185,0.6829229
42,138915.9502482106,0.1623562,0.079597905,0.0011982085,0.012867733,0.06398361,0.6799964
43,135671.33669771455,0.16205102,0.081047475,0.0012803306,0.013270304,0.06525938,0.6770915
44,132970.09653095453,0.16228525,0.0818034,0.0013254773,0.013562406,0.06577518,0.67524827
45,128247.54004527653,0.16225624,0.08237479,0.0013704298,0.013825093,0.066308334,0.67386514
46,128195.16670131168,0.16278417,0.08312325,0.0014146161,0.014182418,0.06703748,0.67145807
47,129053.1412463197,0.16273487,0.08434997,0.0014895804,0.014617861,0.06800406,0.6688037
48,133842.55804608794,0.163065,0.085202195,0.0015406978,0.014884069,0.068681546,0.6666265
49,132722.374972034,0.16289932,0.08568032,0.0015870637,0.0151327085,0.06949518,0.6652055
50,135207.25712982513,0.16315472,0.08605301,0.0016316886,0.015336747,0.07007652,0.66374725
51,133328.5878109696,0.16253221,0.08605453,0.0016401532,0.015390984,0.070218466,0.66416365
52,134786.22113580012,0.16268565,0.08658719,0.0016474588,0.015431684,0.07041557,0.6632324
53,142053.6344225118,0.16237216,0.08681774,0.0016521913,0.015406422,0.07047553,0.6632759
54,138778.82791257498,0.16194916,0.086647995,0.001626142,0.015366072,0.06988121,0.66452944
55,139614.46001882118,0.162415,0.086222135,0.0015794832,0.015148154,0.06946714,0.66516805
56,138935.43301480252,0.16298996,0.08616977,0.0015486237,0.015008004,0.06869362,0.66559
57,139270.8011420511,0.16214207,0.08578863,0.0015162498,0.014851407,0.068187125,0.6675146
58,137883.16535359304,0.16241357,0.085657045,0.0014883345,0.014692745,0.06784119,0.6679072
59,140592.12962963223,0.16291688,0.08507809,0.0014660949,0.01455068,0.06765065,0.6683375
60,141502.48954376456,0.16265048,0.08449334,0.0014328622,0.014399425,0.06733824,0.6696856
61,147805.9253513886,0.16300252,0.08409997,0.0013942663,0.014208588,0.066934705,0.6703599
62,141811.90565131383,0.16362949,0.08385844,0.001357973,0.01403679,0.066405244,0.67071205
63,140709.86358275654,0.16308631,0.083664626,0.0013391791,0.01384397,0.06609661,0.6719693
64,137008.17529774754,0.16323233,0.08343481,0.0013249995,0.013728736,0.06608787,0.67219126
