step,portfolio_value,weight_0,weight_1,weight_2,weight_3,weight_4,weight_5
0,101276.76794821685,0.0011472784,0.0067374534,0.2591206,0.35057047,0.0010587665,0.38136542
1,103448.72135708013,0.0011551537,0.006759991,0.2585639,0.35155252,0.0010641643,0.38090426
2,102118.00510342281,0.0011624403,0.0067930273,0.25853875,0.3519035,0.0010717765,0.38053045
3,102916.32696249778,0.0011385896,0.0066963537,0.25814152,0.35257798,0.0010485563,0.38039702
4,104023.01728719458,0.001121696,0.006629592,0.25856736,0.3518262,0.0010328891,0.38082218
5,104421.73161673943,0.0011094601,0.0065892544,0.25796422,0.35266384,0.0010249836,0.38064826
6,106778.17706874445,0.0011041324,0.0065565235,0.2579936,0.35276836,0.0010171697,0.38056025
7,104922.60356647664,0.0011064081,0.006570278,0.25792906,0.3522465,0.0010238518,0.3811239
8,102858.84990409634,0.0010964995,0.006534716,0.25851163,0.3517794,0.001015044,0.3810627
9,104424.52591523665,0.0011079625,0.006570483,0.25872162,0.35131434,0.0010249988,0.38126063
10,105915.52814888563,0.0011152748,0.006595159,0.2578992,0.3520411,0.0010284814,0.3813209
11,105175.0487635597,0.0011353579,0.006660484,0.2587405,0.35128123,0.0010424071,0.38114
12,103700.16207670492,0.0011303497,0.0066426774,0.2580956,0.3520595,0.0010401845,0.38103166
13,104520.81070120973,0.0011409202,0.0066852896,0.25820762,0.35223824,0.00104892,0.38067904
14,106428.29037640104,0.001162923,0.006781336,0.2585905,0.35130394,0.0010665202,0.38109478
15,105332.20331895127,0.0011788481,0.00683461,0.25822982,0.35104558,0.0010789149,0.38163224
16,105199.05558489184,0.0011888708,0.006876517,0.25854036,0.35099152,0.0010896662,0.38131312
17,105437.29710547772,0.0011965138,0.006891176,0.2589098,0.35092768,0.0010969146,0.380978
18,105169.300896364,0.0012032066,0.0069329063,0.2585353,0.3517102,0.0011073375,0.38051105
19,106264.93283922457,0.001210204,0.006979086,0.25876313,0.35075852,0.0011126742,0.38117638
20,106284.55375538656,0.001209734,0.0069601806,0.25852665,0.3511928,0.0011119283,0.38099876
21,102235.35122964048,0.0011964428,0.006914492,0.25845858,0.3508618,0.0010999382,0.38146874
22,99978.00329430049,0.0012133498,0.006976405,0.25884137,0.34996635,0.0011112567,0.38189125
23,98661.22074602953,0.0012224433,0.0070023546,0.25878948,0.35020706,0.0011196522,0.38165906
24,100383.2509096231,0.0012369446,0.007053582,0.25837016,0.350419,0.0011302535,0.38178998
25,99732.18910741464,0.0012483621,0.007094697,0.25878954,0.3496578,0.0011428145,0.3820668
26,100349.85917479786,0.0012568504,0.0071218633,0.25919202,0.34969553,0.0011495947,0.3815842
27,101034.76097886811,0.001262541,0.0071626967,0.25868264,0.34978807,0.0011578437,0.3819462
28,99777.76027186887,0.0012765625,0.0072187027,0.25883034,0.34963033,0.0011711279,0.381873
29,99361.59408603562,0.0012835803,0.0072471783,0.25927272,0.34861356,0.0011758093,0.38240716
30,98518.01969740195,0.0012813829,0.0072286697,0.25950214,0.34875783,0.0011722762,0.38205773
31,102464.90202696016,0.001295814,0.007290383,0.25996652,0.3483199,0.0011876245,0.38193977
32,101975.75849051774,0.001276935,0.0072249337,0.25935405,0.348235,0.0011675828,0.38274148
33,103727.8085988331,0.0012832017,0.0072592543,0.25944495,0.34805307,0.0011726841,0.3827869
34,102780.03372952198,0.0012741699,0.007200965,0.25873682,0.3497894,0.0011653821,0.38183326
35,103210.39446601264,0.0012768848,0.007198436,0.2593578,0.34917262,0.0011641119,0.38183013
36,103574.56303719309,0.0012761974,0.007220276,0.25844076,0.3505438,0.0011688725,0.38135007
37,104657.88816599095,0.0012907208,0.0072760317,0.25903845,0.3494173,0.0011798323,0.3817977
38,105439.77481514911,0.0012674866,0.0071841804,0.258352,0.35064262,0.0011602567,0.38139346
39,104627.76243832229,0.0012555994,0.0071333074,0.25796038,0.35179383,0.0011503275,0.38070646
40,105694.48685131675,0.0012581429,0.007145397,0.2582442,0.3519556,0.0011536173,0.3802431
41,103452.77556180788,0.0012503893,0.007128166,0.25843772,0.35165307,0.0011485711,0.38038212
42,104209.08617259855,0.0012470055,0.0071390625,0.25876144,0.3509873,0.0011459203,0.3807193
43,103453.72341566354,0.0012283719,0.007058684,0.25881004,0.35133454,0.0011303339,0.3804381
44,103255.8163972272,0.0012315894,0.0070668976,0.25861067,0.35065216,0.0011292407,0.38130945
45,105755.43796102353,0.001214502,0.0069859345,0.25837433,0.35109183,0.0011200308,0.38121346
46,107160.12218914268,0.0012119588,0.006981474,0.25853768,0.3512628,0.0011160799,0.38089004
47,105900.93109547174,0.0011886569,0.00688072,0.25838643,0.35164934,0.0010904125,0.38080448
48,107835.9934991491,0.0011791054,0.006850299,0.2592044,0.35039678,0.0010813652,0.38128802
49,106174.30163558682,0.001169232,0.0068068504,0.25833786,0.35052267,0.0010752826,0.38208815
50,102838.28226289059,0.0011698381,0.0068074404,0.25900134,0.34947434,0.0010765163,0.38247058
51,101612.13346176887,0.0011722724,0.0068053706,0.25853243,0.35065526,0.001078512,0.3817562
52,101149.63797787453,0.0011694253,0.0067998967,0.2589277,0.35018396,0.0010760559,0.38184294
53,99597.46587695228,0.0011766126,0.006818991,0.25936204,0.34985605,0.0010812294,0.38170508
54,97767.56463306876,0.0011744822,0.0068059633,0.25893977,0.35011727,0.0010773127,0.3818852
