step,portfolio_value,weight_0,weight_1,weight_2,weight_3,weight_4
0,101129.26736676868,0.12805305,0.23928177,0.08222043,0.16193254,0.38851213
1,98614.88557084452,0.12821133,0.23931774,0.08294793,0.16260086,0.3869221
2,101157.0849006162,0.12860905,0.23858507,0.083297186,0.16298115,0.38652763
3,104096.74320754955,0.12914607,0.2400354,0.084595196,0.16353638,0.38268694
4,104735.04513241556,0.12951346,0.2392075,0.08419723,0.16351365,0.38356823
5,108778.02375964809,0.12988217,0.2385975,0.085196495,0.16438687,0.381937
6,109101.61794906967,0.1294998,0.23876937,0.08470749,0.16384579,0.38317755
7,109784.55460520802,0.12934643,0.23855029,0.08479283,0.16374646,0.38356403
8,112453.35741470617,0.1305844,0.2386785,0.08611432,0.16482554,0.37979722
9,110957.87805177674,0.12968254,0.23918265,0.08495375,0.16383547,0.38234562
10,109830.16894788426,0.12846716,0.23933148,0.08278315,0.16253066,0.38688755
11,114311.5489183356,0.12941533,0.23867473,0.08481388,0.1640113,0.38308474
12,118495.41911137004,0.12871163,0.23722593,0.08520016,0.16444886,0.38441333
13,118090.80106985818,0.12924957,0.23929548,0.08493835,0.1637553,0.38276133
14,118075.55652465488,0.12904055,0.23886022,0.083993144,0.1635526,0.38455355
15,124737.00530050001,0.12787628,0.24020329,0.0821077,0.16212437,0.3876884
16,131308.2798059149,0.13004862,0.24053204,0.084903315,0.16394216,0.38057393
17,126546.08405759433,0.13018106,0.24172577,0.08489157,0.16347416,0.3797274
18,130027.25842215626,0.12930652,0.24006814,0.08348705,0.1629377,0.3842005
19,133711.25672980724,0.13051529,0.23924047,0.08591745,0.16466798,0.37965885
20,140503.01577081878,0.12956356,0.23952669,0.08498289,0.16379528,0.3821316
21,137761.015961344,0.12614687,0.23888178,0.080814876,0.16099924,0.39315718
22,138092.46566582922,0.12603463,0.23876612,0.0810349,0.16079721,0.39336708
23,140460.03984520148,0.12940817,0.2386935,0.084671795,0.16375333,0.3834732
24,139746.67309890603,0.12755606,0.23928544,0.0824877,0.16226737,0.38840342
25,139898.8360092549,0.12602755,0.23917642,0.08127805,0.16168123,0.3918368
26,136848.42185813005,0.125727,0.24009891,0.08114916,0.16170925,0.3913157
27,137937.37899618872,0.12933335,0.23958564,0.08463025,0.16397032,0.3824804
28,141965.50271440996,0.12888472,0.2392465,0.08443964,0.16392434,0.3835048
29,144055.26138497892,0.12951463,0.23978916,0.085313715,0.16417387,0.3812086
30,138897.88010231356,0.1297707,0.23873903,0.08575375,0.16482314,0.38091338
31,139602.89010936656,0.12895763,0.24014726,0.08344642,0.16301826,0.38443047
32,134622.7416567931,0.13014783,0.23975895,0.08518543,0.16407864,0.3808292
33,135880.84212431966,0.12936097,0.23923773,0.08395025,0.16352195,0.3839291
34,136453.99195816807,0.13049926,0.2392774,0.08553685,0.16457163,0.38011482
35,133294.35331873607,0.12986504,0.23860395,0.085240096,0.1645308,0.38176006
36,136481.161866773,0.12987314,0.23830642,0.08538353,0.16468781,0.3817491
37,136062.72686450355,0.13091105,0.23892474,0.085979335,0.16508107,0.37910384
38,134115.41366324355,0.13049386,0.2387289,0.0855117,0.16489545,0.3803701
39,131808.72264823728,0.12981863,0.23872432,0.084714115,0.1641676,0.3825753
40,135730.39455485434,0.13063772,0.23920187,0.08600044,0.16484375,0.37931624
41,134945.63494017406,0.1299254,0.23850334,0.085541286,0.16476704,0.38126293
42,132606.1301639549,0.12929404,0.23769794,0.08476592,0.16431816,0.38392395
43,131343.54839893818,0.13015717,0.23858173,0.08494935,0.16441208,0.38189965
44,127693.15553553545,0.13066512,0.23864931,0.08587256,0.16509973,0.3797133
45,126605.30673265895,0.12939388,0.2390666,0.08352416,0.16320017,0.38481528
46,128180.55460742101,0.12900557,0.239105,0.08385568,0.16319177,0.384842
47,132607.51082826426,0.12932612,0.23839635,0.08490794,0.16392532,0.3834443
48,132961.32216063177,0.12960342,0.23820724,0.08533287,0.16452298,0.38233355
49,136961.50580451338,0.12839915,0.2379799,0.084002145,0.16369566,0.3859231
50,135766.79474013075,0.1277703,0.23744148,0.08337247,0.16336714,0.38804865
51,135945.12973732932,0.12600484,0.23801826,0.08060432,0.16146167,0.39391088
52,141749.2482544888,0.12911649,0.23808613,0.084363855,0.1639162,0.38451722
53,138872.62328659452,0.12956995,0.23812714,0.085537314,0.16471136,0.38205424
54,139996.26040581884,0.1281356,0.23832299,0.08305403,0.16289756,0.3875898
55,139664.66036731668,0.12881555,0.23834436,0.08411258,0.16366282,0.3850647
56,139120.32356660135,0.1300597,0.23799114,0.08565102,0.16495615,0.38134202
57,137790.8695897934,0.12985505,0.23823486,0.08477232,0.1643833,0.38275447
58,140939.73553344933,0.13056496,0.23786898,0.08593575,0.16534176,0.38028854
59,142328.93105857595,0.13054793,0.23827061,0.0858556,0.16519326,0.3801326
60,147126.13173782217,0.13011377,0.23785087,0.085665114,0.16511883,0.38125142
61,143534.04574434325,0.13001445,0.23881179,0.08571888,0.16468406,0.38077074
62,143414.81836108616,0.13077044,0.23909473,0.08565531,0.16491406,0.37956548
63,140000.63457848565,0.13046463,0.23838818,0.08537613,0.16489416,0.38087693
64,141325.21029289457,0.13028756,0.23847814,0.08524404,0.16462108,0.3813692
65,140508.51892281577,0.13008103,0.23809415,0.08623086,0.16528504,0.38030887
66,139634.07020569505,0.13133748,0.23866136,0.08653406,0.16559689,0.3778702
67,137046.29629914294,0.1299302,0.2381076,0.08498786,0.16450001,0.38247427
68,141552.55239487212,0.12973532,0.23892248,0.08410472,0.16371563,0.38352183
69,141153.63433449966,0.13038963,0.23760577,0.0861476,0.16529459,0.38056242
70,141715.67116747343,0.13063069,0.23759295,0.08621447,0.16553263,0.3800292
